Obs;LEERLAANT_TOTAAL;FTE_1;FTE_2;FTE_34;FTE_TOTAAL;FTE_BEDRAG_1;FTE_BEDRAG_2;FTE_BEDRAG_34;GEWPERC_VROUW_1;GEWPERC_VROUW_2;GEWPERC_VROUW_34;GEWGEM_LEEFTIJD_1;GEWGEM_LEEFTIJD_2;GEWGEM_LEEFTIJD_34;GEWPERC_DEELTIJD_1;GEWPERC_DEELTIJD_2;GEWPERC_DEELTIJD_34;GEWGEM_ERVARING_1;GEWGEM_ERVARING_2;GEWGEM_ERVARING_34;TOTALE_KOSTEN;KOST_DIRECTIE_JAAR;KOST_ONDERWIJZEND_JAAR;KOST_ONDERSTEUNING_JAAR;MAT_KOSTEN2;WMAN;WOP;WOND;PIG;ID_NUMMER;JAAR;REGIO;CATEGORIE;AANTALBRINSPERBG;TOT_LASTEN;AANTALVESTIGINGENPERBRIN;PERC_DEELTIJD;INNOV1;INNOV2;INNOV3;INNOV4;INNOV5;PERC_STED;TRADITIONEELBELEID;SLAGINGSPERCENTAGE;CONCURRENTIE;AGGR_RENDEMENT;INNOV_TOTAAL;APCG;CE;AANDEEL_AUTOCHTOON;AANDEEL_ONBEKEND;AANDEEL_NIETWESTALLOCHANTIL;AANDEEL_NIETWESTALLOCHSURINAAMS;AANDEEL_NIETWESTALLOCHTURKS;AANDEEL_OVERIGNIETWESTALLOCHTOON;AANDEEL_WESTERSALLOCHTOON;AANDEEL_OPGETELD;KOST111;KOST222;KOST333444;CE_VMBO;CE_HAVO;CE_VWO;DRBA1;DRBA2;DRBA3;DRBA4;DRBA5;DRBA6;DRBA7;DRBA8;DRBA9;DRBA10;DRBA11;DRBA12;DRBA13;DRBA14;DRBA15;DRBA16;DRBA17;DRBA18;JAAR_mean;N_BREAK
6,0000;3612,0000;29,5378;341,6436;60,5729;431,7543;138189,9598;1183623,2223;71923,8743;0,1896;0,4176;0,4290;52,3151;45,2903;42,1986;0,0356;0,1910;0,1613;17,6739;12,6020;3,5620;28665847,7503;2358388,0403;20200040,9885;1227472,7142;3652473,2931;81272,5159;75963,1277;17742,6778;1,6739;1,0000;2007,0000;4,0000;7,0000;2,0000;29686858,9661;5,0000;0,1778;10,0000;26,0000;21,0000;10,0000;6,0000;0,6218;0,0000;0,9085;0,0647;0,7912;73,0000;11,3143;61,3036;0,6069;0,0162;0,0212;0,0562;0,1069;0,0681;0,1246;1,0000;79843,0900;59126,0575;20264,3929;61,3627;61,1982;61,3425;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
18,0000;1485,0000;4,4302;112,2589;23,3520;140,0411;19074,7284;415280,6479;23124,6332;0,1941;0,3173;0,5276;52,6160;47,6447;47,4448;0,0000;0,2504;0,5101;17,4358;14,8741;3,4823;10070663,7147;351459,3216;7651708,1512;426080,3986;1215335,4448;82403,4767;74814,4024;16832,3656;1,4722;3,0000;2007,0000;11,0000;7,0000;1,0000;9871563,4796;2,0000;0,2762;11,0000;17,0000;14,0000;5,0000;6,0000;0,4226;1,0000;0,9392;0,3862;0,7763;53,0000;0,0395;64,9660;0,7829;0,0000;0,0470;0,0257;0,0284;0,0550;0,0611;1,0000;79333,4574;68161,2368;18245,9854;64,1765;64,1860;66,3585;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
78,0000;1562,0000;8,1179;104,3090;10,4411;122,8679;42016,9307;361881,9870;12408,6556;0,2853;0,4961;0,6402;53,7825;42,9106;46,0673;0,0000;0,3654;0,5255;20,3323;12,2179;3,0795;8979750,1142;728811,5927;6277083,6099;215236,3790;1543382,1534;78424,9292;74204,4333;17063,2872;1,7189;13,0000;2007,0000;8,0000;8,0000;1,0000;8974484,7951;1,0000;0,3424;3,0000;12,0000;9,0000;7,0000;3,0000;0,5236;1,0000;0,9706;0,1658;0,8431;34,0000;2,6524;64,0187;0,8408;0,0029;0,0198;0,0131;0,0122;0,0367;0,0745;1,0000;89778,6826;60177,8009;20614,3250;64,6154;59,9189;66,5439;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
90,0000;1223,0000;5,4399;89,1543;9,4572;104,0514;26008,2831;300550,3932;9835,8009;0,0000;0,3914;0,1809;54,0333;44,2227;39,3602;0,0000;0,2447;0,3180;11,5286;13,6536;1,9044;7283030,7034;464994,8034;5373456,2328;175851,5265;1092876,6143;81272,5159;75963,1277;17742,6778;1,6183;15,0000;2007,0000;4,0000;7,0000;1,0000;7357452,4756;2,0000;0,2314;7,0000;12,0000;10,0000;5,0000;2,0000;0,0000;1,0000;0,9579;0,5552;0,8825;36,0000;0,0053;64,6624;0,8498;0,0087;0,0095;0,0244;0,0044;0,0367;0,0665;1,0000;85478,7175;60271,3875;18594,4431;63,0727;64,6735;66,3019;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
102,0000;502,0000;4,2671;36,3270;4,9321;45,5262;9754,3337;113402,5598;5436,2838;0,0000;0,4027;0,3753;56,4522;44,3188;44,1534;0,0783;0,3445;0,4322;30,4174;10,4181;2,3340;2668847,7329;168758,8564;1961967,5659;94052,6611;350015,9883;77533,9341;75312,3874;16873,4239;1,6560;17,0000;2007,0000;17,0000;3,0000;2,0000;2642174,1675;1,0000;0,3366;0,0000;11,0000;7,0000;1,0000;2,0000;0,4248;1,0000;0,9913;0,1162;0,9185;21,0000;2,6524;64,4444;0,8099;0,0075;0,0000;0,0306;0,0075;0,0437;0,1008;1,0000;39548,6781;54008,5484;19069,5233;64,4444;#NULL!;#NULL!;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;2004,5000;6,0000
156,0000;1921,0000;7,4914;172,6887;42,8203;223,0004;38091,8729;568556,0526;46287,3164;0,3497;0,4962;0,6397;50,8299;43,3332;47,2835;0,0000;0,3614;0,4712;10,6442;11,3784;2,5679;15459276,0020;713935,8688;10656146,0124;867538,7407;2354116,6393;82437,6443;75800,1749;16802,7336;1,7997;26,0000;2007,0000;6,0000;7,0000;1,0000;15154460,5412;2,0000;0,3555;10,0000;25,0000;12,0000;11,0000;7,0000;0,8076;0,0000;0,9630;0,0621;0,8959;65,0000;4,1907;63,5053;0,8155;0,0057;0,0334;0,0041;0,0318;0,0411;0,0684;1,0000;95300,1162;61707,2705;20259,9925;60,2674;69,1154;63,2500;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
162,0000;2436,0000;4,7333;125,0407;35,3930;165,1670;22147,2000;415111,5269;33246,6230;0,2114;0,2877;0,4836;51,2428;42,2718;41,5439;0,1546;0,1683;0,4139;16,5266;11,0429;2,0868;13051714,6433;522846,4896;9799866,5585;784879,3591;1159242,8771;77571,3142;73256,5805;16648,3790;1,7296;27,0000;2007,0000;5,0000;8,0000;1,0000;12817595,2515;1,0000;0,2005;2,0000;6,0000;9,0000;9,0000;1,0000;0,0638;1,0000;0,9482;0,1963;0,8353;27,0000;2,6524;66,9781;0,9302;0,0000;0,0017;0,0008;0,0170;0,0206;0,0297;1,0000;110460,5260;78373,4431;22176,0975;65,0000;66,4375;68,0339;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
174,0000;1086,0000;3,8000;63,0246;18,5980;85,4226;13866,3236;221351,2753;20503,1968;0,1872;0,3790;0,6576;56,0537;45,5514;49,7957;0,0000;0,2491;0,6004;13,4810;8,4162;3,1976;6987981,6205;282064,3687;4502657,6364;417069,5448;1369120,5257;82437,6443;75800,1749;16802,7336;1,8145;29,0000;2007,0000;6,0000;7,0000;2,0000;6760973,8678;1,0000;0,2376;6,0000;13,0000;10,0000;4,0000;7,0000;0,0243;1,0000;0,9521;0,2317;0,7283;40,0000;0,0000;62,4216;0,8628;0,0000;0,0061;0,0124;0,0069;0,0559;0,0559;1,0000;74227,4655;71442,8594;22425,5052;62,8235;65,4545;59,1714;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
186,0000;1267,0000;4,8100;75,2228;11,8656;91,8984;21354,3464;207624,9890;10382,0235;0,0000;0,3862;0,1430;51,1397;44,2238;40,1832;0,0000;0,2678;0,1046;13,8303;13,1946;0,7929;7114669,1192;539249,1569;5243035,7002;262171,3307;808041,6008;78424,9292;74204,4333;17063,2872;1,7323;32,0000;2007,0000;8,0000;8,0000;1,0000;7273371,1601;1,0000;0,2445;11,0000;19,0000;18,0000;14,0000;7,0000;0,6863;1,0000;0,9624;0,2385;0,7577;69,0000;2,6524;65,1024;0,8003;0,0000;0,0239;0,0088;0,0345;0,0580;0,0745;1,0000;112110,0118;69700,0720;22095,1223;62,5000;65,0517;65,7018;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
198,0000;829,0000;4,1586;52,2340;11,3231;67,7156;9314,6962;164699,6895;7795,0984;0,0000;0,4004;0,2335;50,5680;40,8413;21,3032;0,0000;0,1521;0,1990;15,7039;10,7810;1,3345;4348802,0486;171376,6033;3030230,1456;143418,2548;860358,7901;75483,6210;72761,6682;16051,7808;1,7724;34,0000;2007,0000;13,0000;3,0000;1,0000;4482868,3006;1,0000;0,1604;4,0000;17,0000;11,0000;9,0000;2,0000;0,9447;1,0000;0,9785;0,2799;0,8836;43,0000;2,6524;62,0000;0,8505;0,0000;0,0142;0,0264;0,0255;0,0488;0,0346;1,0000;41210,6462;58012,6417;12666,0044;62,0000;#NULL!;#NULL!;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;2004,5000;6,0000
