iter	Passed	Remaining
0	58	291356
1	59	148318
2	60	100165
3	60	76146
4	61	61786
5	62	52191
6	63	45277
7	64	40017
8	64	36001
9	65	32792
10	66	30127
11	67	27901
12	67	26022
13	68	24453
14	69	23030
15	70	21842
16	70	20773
17	71	19808
18	72	18983
19	73	18252
20	74	17565
21	74	16945
22	75	16352
23	76	15813
24	77	15335
25	77	14880
26	78	14511
27	79	14097
28	80	13746
29	81	13426
30	82	13169
31	82	12883
32	83	12612
33	84	12365
34	85	12105
35	86	11913
36	87	11715
37	88	11538
38	89	11363
39	90	11192
40	91	11057
41	92	10909
42	93	10759
43	94	10613
44	95	10460
45	95	10305
46	96	10161
47	97	10011
48	97	9876
49	98	9759
50	99	9639
51	100	9533
52	100	9426
53	101	9316
54	102	9225
55	103	9133
56	104	9064
57	105	8974
58	106	8883
59	106	8793
60	107	8702
61	108	8617
62	108	8532
63	109	8447
64	110	8370
65	110	8296
66	112	8250
67	113	8234
68	114	8160
69	115	8101
70	115	8042
71	116	7988
72	117	7932
73	118	7882
74	119	7817
75	119	7756
76	120	7704
77	121	7644
78	121	7591
79	122	7536
80	123	7487
81	124	7443
82	124	7402
83	125	7360
84	126	7315
85	127	7267
86	127	7224
87	128	7180
88	129	7169
89	130	7134
90	131	7094
91	132	7076
92	133	7038
93	134	6994
94	134	6965
95	135	6933
96	136	6895
97	137	6860
98	138	6857
99	139	6816
100	139	6786
101	140	6746
102	141	6709
103	142	6688
104	142	6658
105	143	6632
106	144	6598
107	145	6570
108	145	6544
109	146	6510
110	147	6481
111	147	6454
112	148	6429
113	149	6409
114	150	6384
115	151	6361
116	151	6342
117	152	6325
118	153	6311
119	154	6299
120	155	6278
121	156	6252
122	157	6228
123	157	6199
124	158	6179
125	159	6156
126	160	6140
127	160	6118
128	161	6105
129	162	6081
130	162	6057
131	163	6031
132	164	6007
133	164	5986
134	165	5978
135	166	5959
136	167	5945
137	168	5925
138	168	5907
139	169	5893
140	170	5873
141	171	5856
142	171	5840
143	172	5824
144	173	5807
145	174	5794
146	175	5779
147	175	5764
148	176	5747
149	177	5740
150	178	5722
151	178	5707
152	179	5694
153	180	5680
154	181	5666
155	182	5652
156	182	5639
157	183	5622
158	184	5612
159	185	5601
160	186	5591
161	187	5602
162	188	5595
163	189	5581
164	190	5574
165	191	5562
166	191	5551
167	192	5541
168	193	5530
169	194	5514
170	194	5506
171	195	5496
172	196	5484
173	197	5474
174	198	5469
175	199	5458
176	199	5446
177	200	5434
178	201	5426
179	202	5415
180	203	5407
181	203	5396
182	204	5387
183	205	5382
184	206	5374
185	207	5363
186	207	5353
187	208	5348
188	209	5341
189	210	5338
190	211	5330
191	212	5320
192	213	5306
193	213	5298
194	214	5283
195	215	5274
196	215	5265
197	216	5255
198	217	5248
199	218	5238
200	219	5230
201	219	5220
202	220	5207
203	221	5198
204	222	5194
205	222	5185
206	223	5174
207	224	5167
208	225	5159
209	225	5149
210	226	5138
211	227	5127
212	227	5119
213	228	5109
214	229	5101
215	229	5093
216	230	5085
217	231	5079
218	232	5074
219	233	5064
220	233	5056
221	234	5049
222	235	5045
223	236	5038
224	237	5029
225	237	5022
226	238	5014
227	239	5010
228	240	5014
229	241	5013
230	242	5009
231	243	5007
232	244	5003
233	245	5000
234	246	4995
235	247	4990
236	247	4983
237	248	4973
238	249	4969
239	250	4966
240	251	4964
241	252	4955
242	252	4949
243	253	4942
244	254	4938
245	255	4929
246	255	4922
247	256	4914
